,Country,Year,Unweighted_Temp,Unweighted_Temp_Change,Burke_Weighted_Temp,Precipitation,Drought,Extreme temperature,Flood,GDP_Change,ln_GDP_Change,TFP,TFP_normalized_by_country,TFP_Change,ln_TFP_Change,ln_Life_Expectancy_change,ASI
4929,AZE,1987,11.34604673,-0.28588065000000107,,8.90752696990967,0,0,0,,,57.95465,-1.5506427091995925,-4.942589999999996,-0.0818414754162324,0.006011415712739776,
4930,AZE,1988,11.38663216,0.040585430000000144,,8.90752696990967,0,0,0,,,55.11767,-1.7573594168601634,-2.836980000000004,-0.0501904537500479,0.0025539128631946184,
4931,AZE,1989,12.26171443,0.87508227,,8.90752696990967,0,0,0,,,56.97271,-1.6221918226653982,1.8550400000000025,0.0331020268527453,-0.0023461638232866733,
4932,AZE,1990,11.81558621,-0.4461282200000003,,8.90752696990967,0,0,0,,,81.41872,0.1590680743509301,24.44600999999999,0.3570328407413248,-0.0036819482260632697,
4933,AZE,1991,11.75057185,-0.06501435999999927,12.59,8.90752696990967,0,0,0,,,85.72334,0.4727244533630645,4.30462,0.0515199119171843,-0.004823005394269053,
4934,AZE,1992,10.51418771,-1.2363841400000002,11.72,8.90752696990967,0,0,0,-2677000000.0,-0.25581744493819514,82.0079,0.20199870827131647,-3.715439999999987,-0.0443095498282319,-0.012258155243791258,
4935,AZE,1993,10.48816537,-0.026022339999999033,11.06,8.90752696990967,0,0,0,-2122000000.0,-0.26276726409717455,72.51328,-0.4898273133743098,-9.494620000000012,-0.1230458665867235,-0.00016315609179429202,
4936,AZE,1994,11.44292742,0.9547620499999994,12.03,8.90752696990967,0,0,0,-1391000000.0,-0.21939756679454803,66.73507,-0.9108569108234936,-5.778210000000001,-0.0830391156499867,0.005013031331631446,
4937,AZE,1995,12.68600182,1.2430743999999994,12.99,8.90752696990967,0,0,1,-669000000.0,-0.12555122530289609,62.60353,-1.211901805876667,-4.131539999999994,-0.0639089355578494,0.011477216196700724,
4938,AZE,1996,12.22164465,-0.46435716999999954,12.53,8.90752696990967,0,0,0,65000000.0,0.012913659142718359,72.48175,-0.49212474860209976,9.878220000000006,0.146513139742292,0.005074974671138932,
4939,AZE,1997,11.81558111,-0.4060635399999999,12.16,8.90752696990967,0,0,1,294000000.0,0.05641242350322884,75.63741,-0.26218740477304364,3.1556599999999975,0.0426161960269038,0.005589409034008952,
4940,AZE,1998,13.010234,1.1946528900000004,13.33,8.90752696990967,0,0,0,536000000.0,0.0953101798043221,68.77367,-0.7623142068788625,-6.863740000000007,-0.0951300338605065,0.009294011610283981,
4941,AZE,1999,12.76025496,-0.24997904000000126,13.14,8.90752696990967,0,0,0,436000000.0,0.07134198713173134,73.37343,-0.42715243512552387,4.599760000000003,0.0647409127845257,0.009831781741489465,
4942,AZE,2000,12.6707755,-0.08947945999999973,13.15,8.90752696990967,1,0,0,703000000.0,0.10528154854758753,89.54059,0.7508685898452792,16.167159999999996,0.1991301610391902,0.01087708275760324,
4943,AZE,2001,13.01851509,0.34773958999999977,13.46,8.90752696990967,0,0,0,697000000.0,0.0944698707797329,84.04614,0.3505151807956482,-5.4944500000000005,-0.0633261082695515,0.009493863534429714,
4944,AZE,2002,12.30776707,-0.7107480199999987,13.03,8.90752696990967,0,0,0,819000000.0,0.10068067382773194,83.30199,0.2962926490874192,-0.7441499999999905,-0.0088934953121526,0.011066610600906301,
4945,AZE,2003,11.90212449,-0.4056425800000003,12.61,8.90752696990967,0,0,1,958000000.0,0.10619048338348946,81.52055,0.16648792304252374,-1.7814400000000037,-0.0216173027409602,0.007774767536464999,
4946,AZE,2004,12.43169255,0.529568059999999,13.55,8.90752696990967,0,0,0,971000000.0,0.09722996033558928,83.85293,0.3364369232516763,2.332380000000001,0.0282092953076276,0.008799328971694997,
4947,AZE,2005,12.36817341,-0.06351913999999859,13.72,8.90752696990967,0,0,0,2770000000.0,0.23452887353933605,100.0,1.512994089239723,16.14707,0.1761057549781561,0.0032021849641497013,
4948,AZE,2006,12.37843743,0.010264019999999263,13.72,8.90752696990967,0,0,0,4570000000.0,0.2963238696104291,95.45551,1.1818595691527343,-4.544489999999996,-0.0465099109240414,0.008885541821091358,
4949,AZE,2007,12.15730337,-0.2211340600000007,13.48,8.90752696990967,0,0,0,4460000000.0,0.22336799301642074,93.41935,1.0334946559456797,-2.0361600000000095,-0.021561777839171,0.006405028915965616,
4950,AZE,2008,12.03426156,-0.12304181000000014,13.24,8.90752696990967,0,0,0,2400000000.0,0.10230378397810469,90.2168,0.8001406696227737,-3.202549999999988,-0.0348828347275764,0.003027350326130218,
4951,AZE,2009,12.29006415,0.25580259000000005,13.27,8.90752696990967,0,0,1,2320000000.0,0.08984366696714119,97.98202,1.3659538627577326,7.765219999999999,0.0825683299529469,0.007889044802237954,
4952,AZE,2010,13.63678799,1.346723840000001,14.66,8.90752696990967,0,0,1,1310000000.0,0.047378233119481195,96.95719,1.2912795670236124,-1.0248300000000086,-0.0105144515723054,0.002491271044044119,
4953,AZE,2011,11.37948788,-2.257300110000001,,8.90752696990967,0,0,0,20000000.0,0.0007062147186154277,99.72955,1.4932877347406428,2.772360000000006,0.0281924813427583,0.006522712767886851,
4954,AZE,2012,12.61222527,1.2327373900000005,,8.90752696990967,0,1,0,620000000.0,0.02164889017657856,104.30197,1.8264573758524394,4.572419999999994,0.0448282274312372,0.005358275374999444,
4955,AZE,2013,12.18196821,-0.43025705999999886,,8.90752696990967,0,0,0,1680000000.0,0.05640971682568008,106.92718,2.0177434505225493,2.62521000000001,0.0248577923757133,0.007377494680091523,
4956,AZE,2014,12.62564512,0.44367690999999887,,8.90752696990967,0,0,0,,,97.83936,1.3555589338139762,-9.087820000000008,-0.0888210919620355,0.003309932104876623,
4957,AZE,2015,12.3661097,-0.25953541999999885,,8.90752696990967,0,0,0,,,102.98102,1.7302062796218596,5.141660000000002,0.0512177493392158,0.004699553424870828,
4958,AZE,2016,11.87708646,-0.48902324000000164,,8.90752696990967,0,0,0,,,103.36138,1.7579212324681166,0.380359999999996,0.0036866919335176,0.007709772949262117,
4959,GTM,1960,22.69338957,,20.59,34.432113647460895,0,0,0,,,,,,,,
