country,year,drought,extreme_temperature,flood,ln_GDP_change,ln_TFP_change
ARG,1964,0,0,0,0.0812122,-0.0880334151023492
ARG,1965,0,0,0,0.0855667,-0.0648325157201821
ARG,1966,0,0,1,-0.021095,0.0649806071659595
ARG,1967,0,0,1,0.0172599,0.0702453275000208
ARG,1968,0,0,0,0.0329098,-0.0747266417707184
ARG,1969,0,0,0,0.0777439,0.0563974121406963
ARG,1970,0,0,1,0.0146266,-0.0063935706863747
ARG,1971,0,0,0,0.0388175,-0.069354844682552
ARG,1972,0,1,0,-0.0007392,-0.0162109632112237
ARG,1973,0,0,0,0.0105496,0.0423996884164
ARG,1974,0,0,0,0.0369048,0.0697924390901861
ARG,1975,0,0,0,-0.016678,0.023460027819346
ARG,1976,0,0,0,-0.0361213,0.0867708434369101
ARG,1977,0,0,1,0.0518319,0.002613623628493
ARG,1978,0,0,1,-0.060996,0.078088678552314
ARG,1979,0,0,1,0.0824835,0.0023917667322974
ARG,1980,0,0,1,0.0256764,-0.0676360527416566
ARG,1981,0,0,0,-0.0737533,0.0814735586305506
ARG,1982,0,0,1,-0.0661002,-0.0150523110549017
ARG,1983,0,0,1,0.0227399,-0.047223035715537
ARG,1984,0,0,0,0.0066658,-0.0100492317322489
ARG,1985,0,0,1,-0.0939708,0.0045649609147986
ARG,1986,0,0,1,0.0608905,0.016990896460384
ARG,1987,0,0,1,0.0139193,-0.070003218470494
ARG,1988,0,0,1,-0.0404672,0.0343430149838504
ARG,1989,0,0,0,-0.092236,-0.0745342702239951
ARG,1990,0,0,1,-0.03831,0.0997963740899532
ARG,1991,0,0,0,0.1055819,0.034057951426508
ARG,1992,0,0,1,0.0994171,-0.066612866784995
ARG,1993,0,0,1,0.0443159,-0.0340994784011075
ARG,1994,0,0,0,0.0439257,0.0062584271879764
ARG,1995,0,1,1,-0.0413973,0.0674459681694266
ARG,1996,0,0,0,0.0414992,-0.056317107405242
ARG,1997,0,0,1,0.065961,0.0663074064724629
ARG,1998,0,0,1,0.0261198,0.08209337420113
ARG,1999,0,0,0,-0.0456003,0.0147846549347399
ARG,2000,0,1,1,-0.0185049,0.0120311905903305
ARG,2001,0,1,1,-0.0550741,-0.0038991328746274
ARG,2002,0,1,1,-0.1248064,0.0170282442309988
ARG,2003,1,0,1,0.0756107,-0.0123609661229205
ARG,2004,0,1,1,0.0775771,-0.0272714907686114
ARG,2005,0,0,0,0.0791849,0.138937223116124
ARG,2006,0,0,1,0.0715387,-0.0694854343254265
ARG,2007,0,1,1,,0.0270110400231189
ARG,2008,0,0,1,,0.103117316487856
ARG,2009,1,0,1,,-0.147397398466664
ARG,2010,0,1,0,,0.0671623464446354
ARG,2011,0,0,0,,0.0069279161490358
ARG,2012,0,0,1,,-0.0541480493869431
ARG,2013,0,0,1,,0.077879179885624
ARG,2014,0,0,1,,0.0348862160076919
ARG,2015,0,0,1,,0.129275560223864
ARG,2016,0,0,1,,
ARG,2017,0,0,1,,
ARG,2018,1,0,1,,
ARM,1960,0,0,0,,
ARM,1961,0,0,0,,
ARM,1962,0,0,0,,-0.0631070737458259
ARM,1963,0,0,0,,-0.0182051895004944
ARM,1964,0,0,0,,-0.0940390758861671
ARM,1965,0,0,0,,-0.0125394691089857
ARM,1966,0,0,0,,-0.0043526010447698
ARM,1967,0,0,0,,0.0682435744660941
ARM,1968,0,0,0,,0.0586875696850457
ARM,1969,0,0,0,,-0.114457287883511
ARM,1970,0,0,0,,-0.0696182673321109
ARM,1971,0,0,0,,0.0511700876223697
ARM,1972,0,0,0,,-0.145487419846816
ARM,1973,0,0,0,,0.0901787984083464
ARM,1974,0,0,0,,-0.0770928722281305
ARM,1975,0,0,0,,0.0188583182990278
ARM,1976,0,0,0,,-0.0082761024957478
ARM,1977,0,0,0,,-0.135937799067662
ARM,1978,0,0,0,,0.164311467461565
ARM,1979,0,0,0,,0.0265332853647648
ARM,1980,0,0,0,,-0.019911773803198
ARM,1981,0,0,0,,0.0741585710817594
ARM,1982,0,0,0,,0.0032257130561879
ARM,1983,0,0,0,,-0.192987577083431
ARM,1984,0,0,0,,0.189004836918242
ARM,1985,0,0,0,,-0.0820296059301864
ARM,1986,0,0,0,,-0.0102660595226869
ARM,1987,0,0,0,,0.0256137020152893
ARM,1988,0,0,0,,-0.0359050964758336
ARM,1989,0,0,0,,0.0207142696451221
ARM,1990,0,0,0,,0.138473938705184
ARM,1991,0,0,0,-0.1151386,0.0153698086973293
ARM,1992,0,0,0,-0.5233527,0.189459998622954
ARM,1993,0,0,0,-0.0687026,-0.0056908837736982
ARM,1994,0,0,0,0.0765379,0.17299288189635
ARM,1995,0,0,0,0.0872276,-0.0096547296371714
ARM,1996,0,0,0,0.0725531,0.0460083679622008
ARM,1997,0,0,1,0.0440079,-0.125799754852235
ARM,1998,0,0,1,0.0783598,0.079513075068963
ARM,1999,0,0,0,0.038634,0.0484313516604882
ARM,2000,1,0,0,0.0630697,-0.0002234127123168
ARM,2001,0,0,0,0.0965316,0.0138736375120843
ARM,2002,0,0,0,0.1281086,0.0155053938134735
ARM,2003,0,0,0,0.1349928,0.109156704872971
ARM,2004,0,0,1,0.1029791,-0.0940849937300436
ARM,2005,0,0,0,0.1334039,0.275442580458519
ARM,2006,0,0,0,0.1279585,0.0297227805319098
ARM,2007,0,0,0,0.1331741,-0.0261475212302988
ARM,2008,0,0,0,0.0708776,0.132267956490931
ARM,2009,0,0,0,-0.1494287,0.0106193969012915
ARM,2010,0,0,0,0.0233321,-0.201662077161354
ARM,2011,0,0,0,0.0457184,0.140903540496673
ARM,2012,0,0,0,0.0678538,0.101382796958512
ARM,2013,0,1,0,0.0318836,0.0029335923020781
ARM,2014,0,0,0,,-0.010981878238991
ARM,2015,0,0,0,,0.0527278815655592
ARM,2016,0,0,0,,
ARM,2017,0,0,0,,
ARM,2018,0,0,0,,
ATG,1960,0,0,0,,
ATG,1961,0,0,0,,
ATG,1962,0,0,0,,
ATG,1963,0,0,0,,
ATG,1964,0,0,0,,
ATG,1965,0,0,0,,
ATG,1966,0,0,0,,
ATG,1967,0,0,0,,
ATG,1968,0,0,0,,
ATG,1969,0,0,0,,
ATG,1970,0,0,0,,
ATG,1971,0,0,0,,
ATG,1972,0,0,0,,
ATG,1973,0,0,0,,
ATG,1974,0,0,0,,
ATG,1975,0,0,0,,
ATG,1976,0,0,0,,
ATG,1977,0,0,0,,
ATG,1978,0,0,0,0.0369392,
ATG,1979,0,0,0,0.0702264,
ATG,1980,0,0,0,0.086034,
ATG,1981,0,0,0,0.047894,
ATG,1982,0,0,0,0.0132074,
ATG,1983,1,0,0,0.0602142,
ATG,1984,0,0,0,0.109312,
ATG,1985,0,0,0,0.0937487,
ATG,1986,0,0,0,0.1372082,
ATG,1987,0,0,0,0.0968988,
ATG,1988,0,0,0,0.0678128,
ATG,1989,0,0,0,0.0652964,
ATG,1990,0,0,0,0.0261174,
ATG,1991,0,0,0,0.0120194,
ATG,1992,0,0,0,-0.0077964,
ATG,1993,0,0,0,0.0301441,
ATG,1994,0,0,0,0.0357558,
ATG,1995,0,0,0,-0.069339,
ATG,1996,0,0,0,0.0378595,
ATG,1997,0,0,0,0.0198084,
ATG,1998,0,0,0,0.0161711,
ATG,1999,0,0,0,0.0159617,
ATG,2000,0,0,0,0.028828,
ATG,2001,0,0,0,-0.0486049,
ATG,2002,0,0,0,0.0152309,
ATG,2003,0,0,0,0.0529036,
ATG,2004,0,0,0,0.0379464,
ATG,2005,0,0,0,0.0490406,
ATG,2006,0,0,0,0.1161014,
ATG,2007,0,0,0,0.0741458,
ATG,2008,0,0,0,-0.0106211,
ATG,2009,0,0,0,-0.1392662,
ATG,2010,0,0,0,-0.0852257,
ATG,2011,0,0,0,-0.0307421,
ATG,2012,0,0,0,0.022237,
